ImageNo	 ImArea	 ImFrac	 StainArea	 StainInt	 StAreaFrac	  StainThreshold
R8C6__01.tif	 974748	 0.40941	 171091	 175.1984	 0.17552	 0.36471
R8C7__01.tif	 1311865	 0.55101	 958	 153.548	 0.00073026	 0.35
R8C8__01.tif	 727325	 0.30549	 181493	 189.9258	 0.24953	 0.38824
R8C9__01.tif	 855628	 0.35938	 154046	 193.3032	 0.18004	 0.39608
R9C10__01.tif	 879817	 0.36954	 115126	 157.7404	 0.13085	 0.35
R9C11__01.tif	 733413	 0.30805	 239848	 224.3264	 0.32703	 0.45098
R9C12__01.tif	 1128096	 0.47382	 359859	 217.519	 0.319	 0.45098
R9C13__01.tif	 193474	 0.081263	 61695	 196.7256	 0.31888	 0.38824
R9C1__01.tif	 1007712	 0.42326	 196466	 163.1173	 0.19496	 0.35
R9C2__01.tif	 1253647	 0.52655	 211955	 182.2871	 0.16907	 0.39216
R9C3__01.tif	 844933	 0.35489	 213301	 174.4325	 0.25245	 0.36471
R9C4__01.tif	 1027127	 0.43141	 213220	 202.5127	 0.20759	 0.41961
R9C5__01.tif	 1046662	 0.43962	 157803	 160.1146	 0.15077	 0.35
R9C6__01.tif	 825070	 0.34654	 170071	 191.7654	 0.20613	 0.39216
R9C7__01.tif	 30679	 0.012886	 8742	 201.0069	 0.28495	 0.39216
R9C8__01.tif	 812668	 0.34134	 149203	 193.3392	 0.1836	 0.39608
R9C9__01.tif	 1002826	 0.42121	 87913	 167.1789	 0.087665	 0.35
